instance_type,vcpu,memory_gib,family
t3.nano,2,0.5,burstable
t3.micro,2,1,burstable
t3.small,2,2,burstable
t3.medium,2,4,burstable
t3.large,2,8,burstable
t3.xlarge,4,16,burstable
t3.2xlarge,8,32,burstable
m5.large,2,8,general
m5.xlarge,4,16,general
m5.2xlarge,8,32,general
m5.4xlarge,16,64,general
m5.8xlarge,32,128,general
m5.12xlarge,48,192,general
m5.16xlarge,64,256,general
m5.24xlarge,96,384,general
c5.large,2,4,compute
c5.xlarge,4,8,compute
c5.2xlarge,8,16,compute
c5.4xlarge,16,32,compute
c5.9xlarge,36,72,compute
c5.12xlarge,48,96,compute
c5.18xlarge,72,144,compute
c5.24xlarge,96,192,compute
r5.large,2,16,memory
r5.xlarge,4,32,memory
r5.2xlarge,8,64,memory
r5.4xlarge,16,128,memory
r5.8xlarge,32,256,memory
r5.12xlarge,48,384,memory
r5.16xlarge,64,512,memory
r5.24xlarge,96,768,memory
